,date,window,purchase (kWh)
0,2025-03-20,0:30-0:40,29.12552041666686
1,2025-03-20,1:10-2:10,86.08022041666663
2,2025-03-20,2:40-2:50,2.6872216666665736
3,2025-03-20,3:10-3:40,83.32247333333328
4,2025-03-20,3:50-4:10,7.1986799999999675
5,2025-03-20,5:00-5:30,21.302344999999832
6,2025-03-20,8:10-9:30,257.36483079793663
7,2025-03-20,9:50-10:20,63.89546156889558
8,2025-03-20,10:30-10:40,12.43454022246712
9,2025-03-20,11:10-12:00,362.896875222933
10,2025-03-20,12:40-13:40,191.8606105639845
11,2025-03-20,16:00-16:20,31.052501499507457
12,2025-03-20,18:50-19:20,67.97536855077396
13,2025-03-20,20:10-20:30,22.75839134645082
14,2025-03-20,21:30-21:50,10.436548106951136
15,2025-03-20,23:40-0:00+1,37.01520813669538
16,2025-06-21,0:30-0:40,5.227359583333396
17,2025-06-21,1:30-1:40,8.896813333333284
18,2025-06-21,3:00-3:20,14.53439916666673
19,2025-06-21,3:30-3:40,7.792392083333311
20,2025-06-21,6:10-6:30,11.03842987776244
21,2025-06-21,7:0-7:10,10.861585873941905
22,2025-06-21,19:00-19:20,25.44304737456696
23,2025-06-21,20:30-20:40,18.06110910477605
24,2025-09-23,0:40-1:30,102.41191083333331
25,2025-09-23,1:40-2:40,84.14341833333356
26,2025-09-23,3:30-4:10,46.82715875000008
27,2025-09-23,5:00-5:20,57.04510194444458
28,2025-09-23,6:20-6:30,0.11648270558589502
29,2025-09-23,7:50-8:10,7.592724273897488
30,2025-09-23,13:50-14:20,61.477816550597296
31,2025-09-23,14:30-15:00,32.89332169509994
32,2025-09-23,16:00-16:40,116.55518332695743
33,2025-09-23,17:20-17:30,7.042743151833406
34,2025-09-23,17:40-17:50,11.580996243684467
35,2025-09-23,18:30-18:40,2.7946508471439984
36,2025-09-23,20:10-20:40,74.87525975276901
37,2025-09-23,21:00-21:20,82.9122612521445
38,2025-09-23,21:30-22:10,52.4757598401568
39,2025-09-23,22:30-22:40,43.68787426065626
40,2025-09-23,23:30-23:50,19.202685533644512
41,2025-12-21,1:20-1:30,1.3056004166667208
42,2025-12-21,3:10-3:20,19.325255833333244
43,2025-12-21,3:40-4:00,60.00301375000015
44,2025-12-21,6:30-6:40,15.908024243347654
45,2025-12-21,9:00-9:10,5.331451313373009
46,2025-12-21,9:40-10:10,45.482136424445116
47,2025-12-21,10:40-12:00,539.7355231601505
48,2025-12-21,18:20-19:10,34.621991315950595
49,2025-12-21,19:50-20:20,55.52349763961911
50,2025-12-21,22:00-22:10,1.3779786342512352
51,2025-12-21,23:00-23:10,1.3862076757172872
