date,planned_yuan,emergency_yuan,total_yuan,emergency_kwh,soc_start_kwh,soc_end_kwh
2025-02-01,19534.957131539315,0.0,19534.957131539315,0.0,10800.0,3798.192894266114
2025-02-02,57277.983375896874,0.0,57277.983375896874,0.0,3798.192894266114,3756.0184390695013
2025-02-03,55391.10392675974,0.0,55391.10392675974,0.0,3756.0184390695013,3530.0996528143523
2025-02-04,55877.35751799395,1100.9518436437727,56978.30936163772,161.6364490100018,3530.0996528143523,3183.6362324090014
2025-02-05,55342.89214966036,0.0,55342.89214966036,0.0,3183.6362324090014,3548.0435977777774
2025-02-06,56426.89020951284,0.0,56426.89020951284,0.0,3548.0435977777774,3728.3113198486985
2025-02-07,21120.21390686716,0.0,21120.21390686716,0.0,3728.3113198486985,3242.057700046297
2025-02-08,19237.970695002645,1116.8509268782877,20354.821621880932,182.7009531945506,3242.057700046297,3121.3092224074067
2025-02-09,52313.41732995223,4167.490922460146,56480.90825241237,672.8860488116611,3121.3092224074067,2928.3455529629628
2025-02-10,52654.00179280518,0.0,52654.00179280518,0.0,2928.3455529629628,2999.811107169636
2025-02-11,51708.42383166446,585.9253270975629,52294.34915876202,121.91496683332896,2999.811107169636,3068.454706481482
2025-02-12,51840.74909465671,0.0,51840.74909465671,0.0,3068.454706481482,3093.301317501706
2025-02-13,51095.88375548908,0.0,51095.88375548908,0.0,3093.301317501706,3140.6129142889763
2025-02-14,18777.716479344916,0.0,18777.716479344916,0.0,3140.6129142889763,2916.2566383950625
2025-02-15,18614.433201956195,1346.4201274429622,19960.853329399157,284.52969916666734,2916.2566383950625,2762.5732422222227
2025-02-16,49709.726932022066,3064.7471871951952,52774.47411921726,459.24554937281795,2762.5732422222227,2988.752638703704
2025-02-17,49052.052860782,0.0,49052.052860782,0.0,2988.752638703704,3106.6019729507766
2025-02-18,49113.67522185146,22.163647500000014,49135.83886935146,4.87166666666667,3106.6019729507766,3336.104928588427
2025-02-19,48661.29965621489,26.209482708332523,48687.509138923226,5.984583333333148,3336.104928588427,2898.113111551852
2025-02-20,48627.46074550212,102.68584873333283,48730.14659423545,21.922683333333225,2898.113111551852,3080.219750790021
2025-02-21,18353.09760920123,0.0,18353.09760920123,0.0,3080.219750790021,3242.474218479824
2025-02-22,18390.761775376828,0.0,18390.761775376828,0.0,3242.474218479824,3195.5372981834444
2025-02-23,48168.10862510532,20.856446800000768,48188.965071905324,4.4527000000001635,3195.5372981834444,3001.2990767924102
2025-02-24,46656.65847400967,282.2895992984309,46938.94807330811,60.24689886166836,3001.2990767924102,3025.8500825925926
2025-02-25,46768.954334392925,103.28503312500004,46872.23936751793,23.58375000000001,3025.8500825925926,3070.3557770370317
2025-02-26,47084.23050569679,160.91139347161382,47245.141899168404,32.327683691359425,3070.3557770370317,3237.632601204849
2025-02-27,46100.52633883822,0.0,46100.52633883822,0.0,3237.632601204849,3098.170047613171
2025-02-28,17448.343121238595,15.096791969003016,17463.4399132076,3.888921166667444,3098.170047613171,3023.411146740748
2025-03-01,17555.850139977374,479.85681955179183,18035.706959529165,98.96946533333322,3023.411146740748,3044.096343703709
2025-03-02,45512.365975870736,22173.586279049196,67685.95225491993,3302.4320087117803,3044.096343703709,3061.644072777778
2025-03-03,44604.71038759633,26838.63389276924,71443.34428036556,4106.031113479466,3061.644072777778,2943.8859931351844
2025-03-04,47191.398423835475,0.0,47191.398423835475,0.0,2943.8859931351844,3155.71559198288
2025-03-05,47913.476076482795,0.0,47913.476076482795,0.0,3155.71559198288,3233.945673703704
2025-03-06,47417.31580982298,0.0,47417.31580982298,0.0,3233.945673703704,3013.834877997254
2025-03-07,17297.548312328323,0.0,17297.548312328323,0.0,3013.834877997254,3178.086182892591
2025-03-08,16454.081111568055,0.0,16454.081111568055,0.0,3178.086182892591,3275.217148333337
2025-03-09,44514.4917183715,0.0,44514.4917183715,0.0,3275.217148333337,3153.0726581481454
2025-03-10,42511.10815442885,15178.99605192797,57690.104206356824,2310.3256911738285,3153.0726581481454,3002.4615950000025
2025-03-11,43082.601847716986,2239.4241550699535,45322.02600278694,349.04539449999953,3002.4615950000025,3253.530633148152
2025-03-12,42925.24812136497,292.13104661735247,43217.379167982326,65.91773605167012,3253.530633148152,2903.6705874074064
2025-03-13,41660.73464946536,22092.62959202748,63753.36424149284,3406.9070359999964,2903.6705874074064,2968.2659132876065
2025-03-14,15700.484193301672,109.63006926132356,15810.114262562996,17.93392266666507,2968.2659132876065,3002.8929622222186
2025-03-15,16028.400691257586,62.591644743453585,16090.99233600104,16.123556090534155,3002.8929622222186,2820.6406562962957
2025-03-16,43292.23158572986,7.461180000000455,43299.69276572986,1.6400000000001,2820.6406562962957,3291.563994663927
2025-03-17,42720.51916653477,0.0,42720.51916653477,0.0,3291.563994663927,3505.585697570555
2025-03-18,40282.98331007303,2924.2010379396356,43207.18434801267,592.6814679999939,3505.585697570555,3165.401660569274
2025-03-19,40044.55895435675,0.0,40044.55895435675,0.0,3165.401660569274,3692.1465316930326
2025-03-20,40532.395866626015,1399.8169221474402,41932.21278877345,220.81289991426505,3692.1465316930326,3155.48311425926
2025-03-21,15152.056375795863,302.06213441667404,15454.118510212536,61.8257000000015,3155.48311425926,2807.5856377777777
2025-03-22,15990.390964241797,0.0,15990.390964241797,0.0,2807.5856377777777,3770.8264369204394
2025-03-23,39741.83938843993,538.0272822743257,40279.866670714255,80.8674959108838,3770.8264369204394,3103.4077016666656
2025-03-24,39644.65938379704,0.0,39644.65938379704,0.0,3103.4077016666656,2891.986263602349
2025-03-25,38704.51121807732,9183.11768607853,47887.62890415585,1396.682779601666,2891.986263602349,2912.5695360093778
2025-03-26,38259.55924882932,0.0,38259.55924882932,0.0,2912.5695360093778,3078.2735768192633
2025-03-27,38875.15716045252,0.0,38875.15716045252,0.0,3078.2735768192633,2899.9484839460474
2025-03-28,15143.461133208542,0.0,15143.461133208542,0.0,2899.9484839460474,3358.145142035557
2025-03-29,14720.9104144979,953.2846082215448,15674.195022719445,176.23834233332752,3358.145142035557,3116.257289986284
2025-03-30,37587.26904538882,0.0,37587.26904538882,0.0,3116.257289986284,3320.259933148148
2025-03-31,36290.25771719632,6545.695426752287,42835.95314394861,972.5877111066663,3320.259933148148,3186.552089231481
2025-04-01,36965.311981789986,18486.578692331754,55451.890674121736,2726.5350746883378,3186.552089231481,3122.078925
2025-04-02,36079.68311539307,25898.161820054615,61977.84493544768,4202.007497056962,3122.078925,3017.284382168751
2025-04-03,38530.2821225065,0.0,38530.2821225065,0.0,3017.284382168751,3110.2479092592584
2025-04-04,14326.455446231412,0.0,14326.455446231412,0.0,3110.2479092592584,3285.2732110173733
2025-04-05,14489.636219020267,0.0,14489.636219020267,0.0,3285.2732110173733,3104.30755878601
2025-04-06,37537.854359224824,0.0,37537.854359224824,0.0,3104.30755878601,3096.522045336255
