date,plan_cost,emergency_cost,total_cost,emergency_kwh,surplus_kwh
2025-02-01,24307.98904129037,797.279312091667,25105.26835338204,143.8083,8452.105266666666
2025-02-02,60551.92096103444,306.9693790249995,60858.89034005944,80.52484999999979,12737.602750000002
2025-02-03,57289.726643124995,2203.4075702833375,59493.13421340833,482.40960000000086,6693.466750000001
2025-02-04,58954.528621416655,1912.861661849996,60867.39028326665,611.3458833333323,8063.598016666667
2025-02-05,55083.42645899296,4214.354714941666,59297.78117393462,932.8564999999999,3869.3454500000003
2025-02-06,57642.88240820092,1461.8205165166653,59104.70292471759,443.18444999999923,6581.161083333334
2025-02-07,23136.72219301537,1605.1805831166666,24741.902776132036,339.85735000000017,9445.6634
2025-02-08,21052.279171260576,2219.4178257083317,23271.69699696891,628.1111999999996,5805.496283333332
2025-02-09,53040.21810387518,7205.613697233327,60245.83180110851,2060.9493166666653,2745.955183333333
2025-02-10,54146.064119395,1968.951482724994,56115.015602119995,596.5625166666653,8121.3098500000015
2025-02-11,55555.231538495,1427.8494859666655,56983.081024461666,306.03639999999973,8668.567233333331
2025-02-12,54854.21241870166,1694.1649833333315,56548.37740203499,419.8282166666662,8142.808583333333
2025-02-13,54552.215771162395,1616.752318758332,56168.96808992073,432.8487166666664,11643.04668333333
2025-02-14,20205.63234193784,3003.651696791666,23209.284038729504,943.9319999999998,6099.361266666666
2025-02-15,19852.3990013266,2703.4160009666657,22555.815002293268,825.7359999999999,6033.077316666664
2025-02-16,53691.98675632148,2045.3010200666643,55737.28777638814,529.7115999999997,6788.836983333333
2025-02-17,49837.55337372672,2027.7053019166683,51865.25867564339,548.7897666666672,5555.246166666666
2025-02-18,50358.74153729959,2500.5800947583307,52859.32163205792,704.3702166666662,5323.133900000001
2025-02-19,51097.14819301672,2459.879987874997,53557.02818089172,755.0335833333326,5406.13205
2025-02-20,47970.302511268324,6693.9497731166675,54664.252284384995,1709.2653833333334,4413.619216666666
2025-02-21,19451.322941573948,922.7752852833326,20374.09822685728,286.0903166666665,8382.146233333335
2025-02-22,19497.64696851185,1811.610497091667,21309.257465603518,432.59849999999994,6296.110270987654
2025-02-23,51035.794117428326,1272.2557386083356,52308.04985603666,386.6786833333339,6866.68845
2025-02-24,47509.11996591285,1869.4426657083345,49378.56263162118,473.18573333333336,5441.2876166666665
2025-02-25,48192.927106513285,1653.9564373666665,49846.88354387995,428.40138333333323,8573.234983333332
2025-02-26,49193.295881648766,2102.870648133329,51296.166529782095,607.136233333332,6764.556299999998
2025-02-27,47756.747696737846,3931.4545216833308,51688.202218421175,862.2986499999996,7342.607366666666
2025-02-28,18420.864517837963,2102.9662537249988,20523.830771562963,517.2181499999996,9514.794539833334
2025-03-01,18822.932542006296,1479.0407242083322,20301.973266214627,356.1379333333331,9394.714770987652
2025-03-02,48113.76006757034,12705.577406399996,60819.33747397034,3032.702283333332,4785.917116666667
2025-03-03,46099.65670874923,17425.360053925004,63525.01676267423,4276.673866666668,3096.2081500000004
2025-03-04,45795.01505288975,9472.04962314167,55267.06467603142,2718.1346000000003,3945.687299999999
2025-03-05,47872.91053553243,1442.9387578166677,49315.84929334909,323.9667333333333,7793.546316666667
2025-03-06,47333.09612192493,2161.228286333333,49494.32440825826,760.7403999999999,6653.438
2025-03-07,17995.698743923396,800.1862312333333,18795.88497515673,220.17191666666668,10655.164966255143
2025-03-08,17625.85306916148,1333.3921907,18959.24525986148,448.9317,11773.702949999997
2025-03-09,49584.37417884407,1117.2574602750005,50701.63163911907,317.6912000000001,12884.9121
2025-03-10,49218.96235283578,2759.383745466664,51978.34609830244,894.3267499999995,7857.485083333332
2025-03-11,46845.38129937323,1859.649791774993,48705.03109114822,460.6776166666649,8962.541566666667
2025-03-12,43982.28283438923,2641.9167990416695,46624.1996334309,736.704416666667,6401.724033333334
2025-03-13,44654.21035869613,10562.682564925006,55216.89292362114,2660.984150000001,4303.776066666666
2025-03-14,16919.432275764997,890.8308942999995,17810.263170064998,256.57868333333334,13466.936529166662
2025-03-15,17030.66887659212,1851.2864342750015,18881.95531086712,584.871833333334,9287.8054
