,date,window,purchase (kWh)
0,2025-03-20,0:30-0:40,27.757747999999992
1,2025-03-20,1:10-1:50,59.30251999999962
2,2025-03-20,3:10-3:40,69.30228066666677
3,2025-03-20,4:00-4:10,1.199100000000044
4,2025-03-20,5:00-5:30,13.023229999999899
5,2025-03-20,8:10-9:40,381.74150729017657
6,2025-03-20,9:50-12:10,834.3794785389438
7,2025-03-20,12:40-14:40,385.52940325474094
8,2025-03-20,15:50-16:30,74.66001549614879
9,2025-03-20,18:50-19:20,71.80792533333317
10,2025-03-20,20:10-20:30,25.48162266666668
11,2025-03-20,21:30-21:50,12.079035333333422
12,2025-03-20,23:40-0:00+1,38.63320049999993
13,2025-06-21,3:00-3:10,10.913333333333298
14,2025-06-21,3:30-3:40,3.5636546666665367
15,2025-06-21,6:10-6:30,36.66508115881618
16,2025-06-21,6:50-7:20,34.616223770732766
17,2025-09-23,0:40-1:30,77.93595733333314
18,2025-09-23,1:50-2:00,4.105233333333331
19,2025-09-23,2:10-2:30,49.015162333333365
20,2025-09-23,3:50-4:10,26.230299333333278
21,2025-09-23,5:00-5:20,38.626038555555624
22,2025-09-23,6:20-6:40,23.96334464044719
23,2025-09-23,7:50-8:10,50.375022463694734
24,2025-09-23,8:30-8:50,28.953921584457873
25,2025-09-23,10:10-10:20,15.785511347078351
26,2025-09-23,10:50-11:10,34.415929327124815
27,2025-09-23,11:40-12:00,57.09741366082221
28,2025-09-23,13:00-15:20,375.30934408743093
29,2025-09-23,16:00-16:50,237.03453776702491
30,2025-09-23,17:10-18:00,67.88066462518543
31,2025-09-23,18:20-19:00,76.46145477777804
32,2025-09-23,19:20-19:40,20.16011366666646
33,2025-09-23,20:00-20:40,136.2464540000002
34,2025-09-23,20:50-22:10,230.736402
35,2025-09-23,22:30-22:40,51.43780000000004
36,2025-09-23,23:30-23:50,32.089515333333225
37,2025-12-21,3:10-3:20,13.49697533333324
38,2025-12-21,3:40-4:00,50.88961200000006
39,2025-12-21,6:00-6:10,8.571203964078677
40,2025-12-21,6:20-6:40,41.73646709619595
41,2025-12-21,7:20-7:30,4.300810011932526
42,2025-12-21,8:00-8:10,7.670059714720537
43,2025-12-21,8:30-9:10,57.1730830205762
44,2025-12-21,9:30-10:10,111.47978684508581
45,2025-12-21,10:30-12:00,741.841058928836
46,2025-12-21,12:10-12:20,2.9200095599020415
47,2025-12-21,12:50-13:00,2.5443054171477115
48,2025-12-21,17:30-17:40,7.439790384441039
49,2025-12-21,18:50-19:10,7.964239000000134
50,2025-12-21,19:50-20:10,44.60046566666642
