,2025-03-20,2025-06-21,2025-09-23,2025-12-21
10:00-10:10,0.0,0.0,0.0,0.0
12:00-12:10,478.0309833333331,0.0,301.06743333333327,981.4611666666664
14:00-14:10,0.0,0.0,0.0,0.0
16:00-16:10,629.5398499999999,114.22330000000014,468.30015000000014,836.2473000000001
18:00-18:10,695.8719444444445,397.48528333333326,764.0491166666667,698.0564999999999
20:00-20:10,0.0,0.0,15.527333333333218,0.0
daily planned purchase (kWh),67951.65239574155,34193.484449733856,67985.63147719266,94667.04297126838
daily planned cost (yuan),42078.80316653663,20021.23443175932,42977.82538771819,61043.65830041501
daily final purchase (kWh),65319.526903432634,33902.0316501956,66045.84053028701,94922.6956494762
daily adjustment cost (yuan),-348.1966992671339,-181.98693857542185,-460.0552005693516,863.7676384835195
daily emergency purchase (kWh),540.7806453595626,0.0,173.64872343360588,0.0
daily total cost (yuan),44381.13184622015,19839.2474931839,43330.224027255616,61907.42593889853
