date,hour,price_yuan_per_kwh,load_kwh,pv_kwh,actual_net_kwh,planned_purchase_kwh,final_purchase_kwh,charge_kwh,discharge_kwh,soc_end_kwh,emergency_kwh,spill_kwh
2025-03-20,00:00-01:00,0.42650000000000005,3435.0677333333333,0.0,3435.0677333333333,8544.7293025,8544.7293025,4970.874479583332,0.0,7214.465162547284,0.0,138.7870895833331
2025-03-20,01:00-02:00,0.4307999999999999,3584.6638,0.0,3584.6638,4953.385656336351,4953.385656336351,1392.8532721696843,24.131415833333335,8441.22042324074,0.0,0.0
2025-03-20,02:00-03:00,0.43373333333333336,3463.8304166666667,0.0,3463.8304166666667,4383.786933333333,4383.786933333333,909.3484645833333,2.6872216666665736,9256.648239513888,0.0,13.295273749999978
2025-03-20,03:00-04:00,0.4365333333333334,3680.2878499999997,0.0,3680.2878499999997,3590.233776666667,3590.233776666667,0.46708000000000993,90.52115333333325,9156.48955225463,0.0,0.0
2025-03-20,04:00-05:00,0.4394,3598.9079666666667,0.004833333333333333,3598.9031333333332,3697.91821625,3697.91821625,103.45450791666656,4.439424999999915,9244.665914935187,0.0,0.0
2025-03-20,05:00-06:00,0.52655,3919.2409999999995,0.9395,3918.3015,4811.431705,4832.146466950017,1686.502415,823.1631580499825,9847.89235726854,0.0,50.50571000000002
2025-03-20,06:00-07:00,0.8710333333333334,4782.7329666666665,863.0660166666667,3919.66695,0.0,0.0,0.0,3919.66695,5492.706857268539,0.0,0.0
2025-03-20,07:00-08:00,0.8470666666666666,5066.787249999999,2745.9452,2320.84205,661.1408319444445,1396.7536801479675,85.29032051338623,1009.3786903654188,4447.936267546789,0.0,0.0
2025-03-20,08:00-09:00,1.0814666666666666,6677.5063666666665,4471.675883333333,2205.830483333333,0.0,0.0,0.0,2205.830483333333,1997.0135082875304,0.0,0.0
2025-03-20,09:00-10:00,0.9789499999999999,6507.368866666666,5935.822133333333,571.5467333333333,0.0,0.0,0.0,571.5467333333333,1361.9615823616045,0.0,0.0
2025-03-20,10:00-11:00,0.8651666666666668,6430.559016666666,7052.5327,-621.9736833333334,548.5886124999997,0.0,621.9736833333334,0.0,1921.7378973616046,0.0,0.0
2025-03-20,11:00-12:00,0.4729166666666667,6347.991683333334,7391.8717,-1043.8800166666665,3541.0227188888875,3103.3409063606377,4132.89911632832,0.0,5641.347102057092,0.0,14.321806698984801
2025-03-20,12:00-13:00,0.5249833333333334,6037.28595,7636.81215,-1599.5262,3047.754526388889,2540.325314839798,3883.9263088102807,0.0,9136.880779986346,0.0,255.92520602951708
2025-03-20,13:00-14:00,0.88455,6232.589866666666,6849.731416666666,-617.1415499999996,368.66317652777786,0.0,617.1415499999996,0.0,9692.308174986345,0.0,0.0
2025-03-20,14:00-15:00,0.9537833333333333,6259.560033333332,5852.548316666666,407.01171666666653,1244.7365520833332,883.9714004333784,731.682467100045,254.72278333333304,10067.797080561571,0.0,0.0
