date,planned,emergency,total,emergency_kwh,soc_start,soc_end
2025-02-01,24254.44258414849,0.0,24254.44258414849,0.0,10800.0,10800.0
2025-02-02,58836.445650562004,0.0,58836.445650562004,0.0,10800.0,10800.0
2025-02-03,57392.41000228444,0.0,57392.41000228444,0.0,10800.0,10800.0
2025-02-04,57925.486241475846,0.0,57925.486241475846,0.0,10800.0,10800.0
2025-02-05,57045.04470140481,0.0,57045.04470140481,0.0,10800.0,10800.0
2025-02-06,58025.91659785252,0.0,58025.91659785252,0.0,10800.0,10800.0
2025-02-07,23317.797946751736,0.0,23317.797946751736,0.0,10800.0,10800.0
2025-02-08,21090.467764865447,0.0,21090.467764865447,0.0,10800.0,10800.0
2025-02-09,54277.64493774666,0.0,54277.64493774666,0.0,10800.0,10800.0
2025-02-10,55278.0515191467,0.0,55278.0515191467,0.0,10800.0,10800.0
2025-02-11,54031.52727145377,0.0,54031.52727145377,0.0,10800.0,10800.0
2025-02-12,53379.68305397788,0.0,53379.68305397788,0.0,10800.0,10800.0
2025-02-13,52806.6368346402,0.0,52806.6368346402,0.0,10800.0,10800.0
2025-02-14,19957.04542147233,0.0,19957.04542147233,0.0,10800.0,10800.0
2025-02-15,19676.21929013833,0.0,19676.21929013833,0.0,10800.0,10800.0
2025-02-16,50978.93362017638,29.454979499999485,51008.38859967638,6.47433333333322,10800.0,10800.0
2025-02-17,50639.32219231833,0.0,50639.32219231833,0.0,10800.0,10800.0
2025-02-18,50550.134342953635,47.01908250000017,50597.15342545364,10.335000000000036,10800.0,10800.0
2025-02-19,50087.632581867045,173.7205062083325,50261.353088075375,39.544249999999806,10800.0,10800.0
2025-02-20,49658.42987802825,136.83099089333308,49795.26086892158,29.212423333333277,10800.0,10800.0
2025-02-21,19290.12667401133,0.0,19290.12667401133,0.0,10800.0,10800.0
2025-02-22,19205.602876590667,0.0,19205.602876590667,0.0,10800.0,10800.0
2025-02-23,49063.259201813824,0.0,49063.259201813824,0.0,10800.0,10800.0
2025-02-24,48466.95698422365,186.9935073300007,48653.95049155365,41.627370000000155,10800.0,10800.0
2025-02-25,48594.53142720011,78.26020516666689,48672.79163236678,17.869666666666717,10800.0,10800.0
2025-02-26,48357.7492607625,0.0,48357.7492607625,0.0,10800.0,10800.0
2025-02-27,47492.790403367486,0.0,47492.790403367486,0.0,10800.0,10800.0
2025-02-28,18552.234649138336,0.0,18552.234649138336,0.0,10800.0,10800.0
