date,planned,emergency,total,emergency_kwh,soc_start,soc_end
2025-02-01,23914.75100957933,0.0,23914.75100957933,0.0,10800.0,10800.0
2025-02-02,60576.910340758346,0.0,60576.910340758346,0.0,10800.0,10800.0
2025-02-03,57886.42002392,0.0,57886.42002392,0.0,10800.0,10800.0
2025-02-04,59966.71398794647,0.0,59966.71398794647,0.0,10800.0,10800.0
2025-02-05,55481.75347724689,731.5523767962429,56213.30585404314,154.87754416666525,10800.0,10800.0
2025-02-06,57838.70046251356,0.0,57838.70046251356,0.0,10800.0,10800.0
2025-02-07,23521.0956421762,0.0,23521.0956421762,0.0,10800.0,10800.0
2025-02-08,21270.21434070557,0.0,21270.21434070557,0.0,10800.0,10800.0
2025-02-09,53523.87736827259,0.0,53523.87736827259,0.0,10800.0,10800.0
2025-02-10,54944.88336505155,0.0,54944.88336505155,0.0,10800.0,10800.0
2025-02-11,55852.02005751833,0.0,55852.02005751833,0.0,10800.0,10800.0
2025-02-12,55158.71218479877,0.0,55158.71218479877,0.0,10800.0,10800.0
2025-02-13,54798.99314817481,0.0,54798.99314817481,0.0,10800.0,10800.0
2025-02-14,20391.953423034665,0.0,20391.953423034665,0.0,10800.0,10800.0
2025-02-15,19910.411070730934,0.0,19910.411070730934,0.0,10800.0,10800.0
2025-02-16,54183.01394797578,0.0,54183.01394797578,0.0,10800.0,10800.0
2025-02-17,50404.07281175064,0.0,50404.07281175064,0.0,10800.0,10800.0
2025-02-18,51199.331631736364,47.01908250000017,51246.35071423637,10.335000000000036,10800.0,10800.0
2025-02-19,51367.3297890694,14.356705499999977,51381.6864945694,3.1556666666666615,10800.0,10800.0
2025-02-20,48203.572311958946,495.10517369648005,48698.677485655426,110.81410169999931,10800.0,10800.0
2025-02-21,19503.857164740664,0.0,19503.857164740664,0.0,10800.0,10800.0
2025-02-22,19579.068424087003,0.0,19579.068424087003,0.0,10800.0,10800.0
2025-02-23,51064.05820008028,0.0,51064.05820008028,0.0,10800.0,10800.0
2025-02-24,47903.35117837133,187.4296501833341,48090.78082855466,41.720483333333505,10800.0,10800.0
2025-02-25,48625.29091287477,49.79345516666689,48675.08436804144,11.369666666666717,10800.0,10800.0
2025-02-26,49470.627951189854,0.0,49470.627951189854,0.0,10800.0,10800.0
2025-02-27,47811.60345663273,0.0,47811.60345663273,0.0,10800.0,10800.0
